# Title: Online Malicious URL Splunk Lookup
# Updated: 2025-07-19T12:11:28Z
# Expires: 12 hours (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"113.156.110.218","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.160.185.79","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.160.251.236","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.165.114.131","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.189.105.82","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.21.120.35","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.214.56.228","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.214.56.234","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.214.56.235","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.214.56.238","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.224.140.100","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.224.80.232","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.228.61.90","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.229.176.161","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.229.190.131","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.231.228.83","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.231.231.113","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.236.124.184","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.236.150.108","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.236.158.15","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.237.104.87","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.237.161.79","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.237.40.63","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.237.96.92","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.239.110.61","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.239.122.71","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.239.244.233","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.31.111.76","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.44.67.52","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.44.89.87","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.45.4.235","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.50.0.109","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.89.40.15","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"113.98.201.248","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.129.49.131","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.132.185.158","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.132.86.182","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.159.30.59","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.247.47.52","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.31.28.42","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.31.8.22","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.31.8.25","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.55.106.136","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.7.160.114","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.7.209.193","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"114.96.89.69","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.127.119.198","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.127.68.162","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.159.149.113","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.159.71.204","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.165.209.73","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.178.100.190","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.187.17.117","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.23.70.129","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.240.70.185","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.245.112.26","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.48.1.16","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.48.150.192","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.48.223.203","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.48.39.176","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.49.230.21","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.49.241.203","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.49.5.66","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.52.28.142","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.55.128.190","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.55.201.4","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.55.29.97","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.55.54.129","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"115.58.90.246","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
